scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
AD,17,B2,1629,M,,FALSE,FALSE,0,5,2,0,0,No,FALSE,"4,5",3,,No Card,Something prob not working with shooter ,,
AM,18,R3,4472,C,,FALSE,FALSE,0,5,0,2,2,No,FALSE,,4,,No Card,Turret fell off,,
SBS,18,R1,2537,F,3,FALSE,FALSE,10,6,0,4,0,No,FALSE,"6,2",4,,No Card,,,
BP,18,B1,3939,C,3,TRUE,FALSE,4,4,0,4,0,No,FALSE,6,4,,No Card,,,
AZ,18,B2,1727,F,,FALSE,FALSE,7,11,3,2,7,No,FALSE,1,4,,No Card,Instead of intaking balls they rolled over them,,
JD,18,R2,1262,M,,FALSE,FALSE,3,3,4,1,7,No,FALSE,2,3,,No Card,,,
CC,18,B3,5338,M,,FALSE,FALSE,5,10,0,3,7,No,FALSE,"6,2",3,,No Card,,,
BP,19,B1,5804,C,3,TRUE,FALSE,6,0,5,2,0,No,FALSE,6,1,,No Card,Browned out and started to miss all shots,,
SBS,19,R1,1111,M,,FALSE,FALSE,0,2,0,0,0,No,FALSE,"4,5",2,,No Card,Bot didn41391t even move at the start and then halfway through started okay defense,,
JD,19,R2,540,F,3,FALSE,FALSE,3,5,0,4,0,No,FALSE,"2,1,6,3",4,,No Card,,,
AM,19,R3,2199,,3,FALSE,FALSE,10,9,5,4,8,No,FALSE,"1,2,3,6",5,,No Card,,,
AD,19,B2,11318,M,,FALSE,FALSE,3,6,0,2,2,No,FALSE,6,3,,No Card,"Bot jammed, unjammed on wall",,
CC,19,B3,2890,F,2,FALSE,TRUE,8,2,0,1,4,No,FALSE,"6,2",2,,No Card,,,
HR,20,R2,3361,M,,FALSE,FALSE,0,8,0,2,0,No,FALSE,"2,6",2,,No Card,,,
AM,20,R3,122,C,3,TRUE,FALSE,12,4,6,4,0,No,FALSE,"1,2,3,6",5,,No Card,,,
SBS,20,R1,1086,,3,FALSE,FALSE,3,0,5,2,8,No,FALSE,2,4,,No Card,,,
BP,20,B1,2106,F,3,FALSE,FALSE,10,6,4,5,4,No,FALSE,"6,3,2",3,,No Card,,,
AD,20,B2,619,C,,FALSE,FALSE,4,8,0,4,3,No,FALSE,"2,6",4,,No Card,,,
CC,20,B3,2421,M,,FALSE,FALSE,2,8,0,3,6,No,FALSE,,1,,No Card,,,
AM,21,R3,5549,M,,FALSE,FALSE,0,5,7,5,0,No,FALSE,"1,2,6",4,,No Card,,,
HR,21,R2,614,C,,TRUE,FALSE,9,0,4,3,5,No,FALSE,"1,6",4,,No Card,,,
MY,21,B1,10004,F,3,FALSE,FALSE,5,4,1,5,6,No,FALSE,"1,6",4,,No Card,Good turret ,,
CC,21,B3,8592,C,,TRUE,FALSE,12,0,6,3,5,No,FALSE,"6,2",3,,No Card,,,
SBS,21,R1,686,F,3,TRUE,FALSE,6,4,2,4,0,No,FALSE,"1,2",4,2,No Card,Browned out at the end and got beached in auto,,
AD,21,B2,10679,M,,FALSE,FALSE,5,8,0,0,0,No,FALSE,"4,5,2",3,,No Card,No intake,,
MY,22,B1,1719,M,,FALSE,FALSE,3,9,1,0,7,No,FALSE,4,4,4,No Card,Solid defense ,,
CC,22,B3,339,F,3,FALSE,FALSE,10,6,0,0,2,No,FALSE,2,4,,No Card,Collect fuel for HP,,
AM,22,R3,3136,C,3,TRUE,FALSE,10,9,1,5,0,No,FALSE,"2,6",4,,No Card,,,
AD,22,B2,3748,C,,FALSE,FALSE,20,3,0,1,0,No,FALSE,,3,1,No Card,,,
HR,22,R2,1389,F,,TRUE,FALSE,0,0,2,2,5,No,FALSE,"1,6",3,,No Card,Inaccurate shooter,,
SBS,22,R1,5243,,,FALSE,TRUE,0,0,0,2,5,No,FALSE,2,2,,No Card,,,
SBS,23,R1,4541,M,1,FALSE,FALSE,2,5,4,0,0,No,FALSE,"5,4,2",4,,No Card,,,
HR,23,R2,422,F,,TRUE,FALSE,15,4,6,4,0,No,FALSE,"1,6",5,,No Card,,,
AM,23,R3,1731,C,3,FALSE,FALSE,17,6,0,7,0,No,FALSE,"2,6",5,,No Card,,,
AD,23,B2,346,C,,FALSE,FALSE,0,0,6,4,5,No,FALSE,,4,2,No Card,"Beached when going over bump, quickly got back up",,
MY,23,B1,1895,M,,FALSE,FALSE,4,7,3,0,7,L1,FALSE,"5,2",4,,No Card,Attempted defense against 1731 ,,
CC,23,B3,9072,F,3,FALSE,FALSE,20,2,4,3,3,No,FALSE,"3,2",1,,No Card,,,
CC,24,B3,3258,,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,,No Card,No show,,
SBS,24,R1,5587,M,1,FALSE,FALSE,2,0,0,0,0,No,FALSE,,1,1,No Card,,,
AZ,24,B2,449,F,,FALSE,FALSE,15,10,4,6,7,No,FALSE,,5,,No Card,,,
JB,24,B1,4099,C,3,FALSE,FALSE,9,3,1,5,8,No,FALSE,"2,3",5,,No Card,,,
HR,24,R2,11415,C,3,FALSE,FALSE,10,7,3,5,5,No,FALSE,"1,6",5,,No Card,,,
AM,24,R3,1727,F,3,FALSE,FALSE,10,9,3,5,0,No,FALSE,"1,2,6",4,,No Card,,,
AZ,25,B2,8590,M,,FALSE,FALSE,0,6,2,0,5,No,FALSE,"4,5",1,,No Card,"Could not intake, only played defense, didn41391t move during auto",,
