"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"FL",10,"R1",614,"M",NA,FALSE,FALSE,2,0,9,4,4,"No",FALSE,6,4,NA,"No Card","Pretty good",NA,NA
"HR",10,"R2",2590,"F",3,FALSE,FALSE,0,5,0,4,5,"No",FALSE,16,3,NA,"No Card","Passed line in auto",NA,NA
"CR",10,"R3",4469,"C",56,TRUE,FALSE,0,5,1,3,0,"No",FALSE,43,2,NA,"No Card","Unable to get to their AZ until endgame",NA,NA
"AZ",11,"B1",11244,"F",NA,FALSE,FALSE,0,1,1,0,4,"No",FALSE,NA,1,NA,"No Card","Shooter broke, no indexing no auto",NA,NA
"BP",11,"B2",1768,"F",5,TRUE,FALSE,10,10,4,8,7,"No",FALSE,4621,5,NA,"No Card","Insanely fast hopper empty and fill",NA,NA
"LJ",11,"B3",6911,"C",3,TRUE,FALSE,0,5,0,1,6,"No",FALSE,16,3,NA,"No Card","Intake did not deploy in auto. Pass on the fly from NZ. to AZ. SOTM worked well in first half of match, butthen shooter jammed with about a minute left. Spent a lot of time doing nothing, only outtaked full hopper for partner in last 5 seconds.",NA,NA
"FL",11,"R1",8229,"F",3,FALSE,FALSE,5,16,7,4,5,"No",FALSE,36,5,NA,"No Card","I don41391t think I counted the trench bump well",NA,NA
"HR",11,"R2",111,"F",41,TRUE,FALSE,4,0,10,6,0,"No",FALSE,16,5,"3","No Card","Has a theoretically compatible with teammates auto, but it did not work and. messed up teamates. They had alittle trouble with surfing, but high throughput and capacity",NA,NA
"CR",11,"R3",2054,"C",6,TRUE,FALSE,0,0,5,5,0,"No",FALSE,6,3,"4","No Card","Bump only",NA,NA
"AZ",12,"B1",4087,"F",5,FALSE,FALSE,5,6,0,2,5,"No",FALSE,NA,3,NA,"No Card","Small hopper, poor intaking, not the best driving",NA,NA
"BP",12,"B2",3544,"C",3,FALSE,FALSE,0,8,0,0,5,"No",FALSE,42,1,NA,"No Card","Kinda mediocre",NA,NA
"LJ",12,"B3",7840,"F",5,FALSE,FALSE,9,3,3,2,4,"No",FALSE,16,3,NA,"No Card","Passed from very close to their. AZ. Struggled a little bit under1690 defense, but could comfortably take corner shots. Not much SOTM but pretty accurate, BPS saw occasional drops",NA,NA
"FL",12,"R1",1403,"C",5,FALSE,FALSE,0,6,3,4,2,"No",FALSE,26,3,NA,"No Card","Auto got blocked by trench bar but woulda been good imo",NA,NA
"HR",12,"R2",1690,"F",NA,FALSE,FALSE,0,9,1,0,0,"No",FALSE,2345,5,NA,"No Card","Shooter/index malfunctioned, did no auto,played pretty good defense",NA,NA
"CR",12,"R3",4766,"M",21,FALSE,FALSE,10,4,0,2,0,"No",FALSE,26,4,NA,"No Card",NA,NA,NA
"AZ",13,"B1",931,"M",NA,FALSE,FALSE,0,0,6,4,0,"No",FALSE,1,3,NA,"No Card","Moving out of the way in auto,  basically only passing",NA,NA
"BP",13,"B2",4322,"C",3,TRUE,FALSE,12,7,3,2,8,"No",FALSE,63,3,NA,"No Card","Good back wall sweep",NA,NA
"LJ",13,"B3",2813,"F",5,TRUE,FALSE,19,9,5,6,3,"No",FALSE,631,4,NA,"No Card","When shooting at hub, first bunch consistently undershot and they had to realign. Passing was also a little screwy, sometimes coming short or spraying everywhere. Consistent mid range trench cycles, net expands to no longer go under trench",NA,NA
"FL",13,"R1",2491,"C",6,TRUE,FALSE,2,0,12,5,6,"No",FALSE,6,3,NA,"No Card","Really big hopper but a lot of standing around wasting time before hub turns on but i think they missed a lot of. their auto",NA,NA
"HR",13,"R2",8159,"F",3,FALSE,FALSE,16,7,1,8,0,"No",FALSE,16,5,NA,"No Card","Good shooting on the move",NA,NA
"CR",13,"R3",8119,"M",NA,FALSE,FALSE,2,4,0,5,7,"No",FALSE,13,4,NA,"No Card","Passed from oz",NA,NA
"AZ",14,"B1",3501,"M",NA,TRUE,FALSE,0,0,6,7,6,"No",FALSE,16,4,NA,"No Card","A lot of passing",NA,NA
"BP",14,"B2",6487,"C",3,TRUE,FALSE,10,6,4,5,2,"No",FALSE,62,3,NA,"No Card","Pretty good shooting ig",NA,NA
