scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,,,,,,
FL,19,B3,1895,M,FALSE,,FALSE,FALSE,4,5,4,1,7,No,FALSE,3,3,FALSE,FALSE,No Card,Passer bot even during active? ,,,,,,
CC,20,B2,2377,C,FALSE,1,FALSE,FALSE,5,2,0,4,4,No,FALSE,2,3,FALSE,TRUE,No Card,,,,,,,
BP2,20,R3,3373,C,FALSE,,FALSE,FALSE,0,0,4,3,8,No,FALSE,,3,FALSE,FALSE,No Card,,,,,,,
CR,20,R1,3373,C,FALSE,,FALSE,FALSE,0,0,5,1,0,No,FALSE,6,4,FALSE,FALSE,No Card,,,,,,,
HR,20,R2,611,F,FALSE,,FALSE,FALSE,0,0,4,0,7,No,FALSE,6,3,FALSE,FALSE,No Card,Intake jammed,,,,,,
BP,20,B1,449,C,FALSE,,FALSE,FALSE,0,5,0,2,4,No,FALSE,,5,FALSE,TRUE,No Card,Good shooting and defense,,,,,,
AW,20,B3,5587,M,FALSE,,FALSE,FALSE,5,3,0,1,5,No,FALSE,,3,FALSE,FALSE,No Card,Was behind the hub& out of sight for a bunch of the match (might have picked up more than I counted),,,,,,
CR,21,R1,3136,F,FALSE,3,FALSE,FALSE,9,6,0,4,7,No,FALSE,"2,6",5,FALSE,FALSE,No Card,Flexible intake,,,,,,
BP,21,B1,539,C,FALSE,,FALSE,FALSE,0,0,6,1,0,F,FALSE,"6,5",2,FALSE,FALSE,No Card,Got beached on the balls and bump. for some time,,,,,,
HR,21,R2,526,M,FALSE,,FALSE,FALSE,5,6,1,0,3,No,FALSE,"2,5",3,FALSE,FALSE,No Card,Intake jammed,,,,,,
AW,21,B3,2068,F,FALSE,,FALSE,FALSE,0,10,0,3,0,No,FALSE,6,3,FALSE,FALSE,No Card,"Couldn41391t see its auto, so I don41391t know what it started with",,,,,,
CC,21,B2,2068,F,FALSE,,FALSE,FALSE,0,6,0,3,0,No,FALSE,2,3,FALSE,TRUE,No Card,,,,,,,
AM,21,R3,3136,F,FALSE,3,FALSE,FALSE,10,3,0,4,5,No,FALSE,"2,6",5,FALSE,FALSE,No Card,,,,,,,
CC,22,B2,116,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
AM,22,R3,620,C,FALSE,,FALSE,FALSE,10,3,3,4,5,No,FALSE,"4,2,6",5,FALSE,FALSE,No Card,,,,,,,
HR,22,R2,2028,F,FALSE,,FALSE,FALSE,10,0,6,3,3,No,FALSE,"6,1",5,FALSE,FALSE,No Card,,,,,,,
CR,22,R1,620,C,FALSE,,FALSE,FALSE,4,9,4,3,0,No,FALSE,"2,3,6,4",5,FALSE,FALSE,No Card,Very fast and versatile,,,,,,
BP,22,B1,10449,M,FALSE,,FALSE,FALSE,2,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,Stayed in alliance zone and didn41391t shoot very well,,,,,,
KL,22,B3,10449,M,FALSE,3,FALSE,FALSE,6,0,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,Was slow and didn41391t really do anything,,,,,,
BP,23,B1,1793,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
AM,23,R3,122,C,FALSE,,FALSE,FALSE,10,1,11,2,3,No,FALSE,"2,4,6",5,FALSE,FALSE,No Card,,,,,,,
HR,23,R2,5549,F,FALSE,3,FALSE,FALSE,9,0,0,0,0,No,FALSE,,2,FALSE,FALSE,No Card,Got stuck in trench,,,,,,
KL,23,B3,1793,M,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
CR,23,R1,122,C,FALSE,,FALSE,FALSE,3,3,9,2,0,No,FALSE,"2,5,6",4,FALSE,FALSE,No Card,Unbeached themselves,,,,,,
AC,23,B2,5353,F,FALSE,3,FALSE,FALSE,5,3,0,5,6,No,FALSE,6,4,FALSE,TRUE,No Card,,,,,,,
AM,24,R3,2363,C,FALSE,3,FALSE,FALSE,0,14,0,4,7,No,FALSE,"2,6",4,FALSE,FALSE,No Card,,,,,,,
BP,24,B1,611,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,,,,,,,
CC,24,B2,9072,C,FALSE,3,FALSE,FALSE,20,6,0,4,2,No,FALSE,,4,FALSE,TRUE,No Card,,,,,,,
CR,24,R1,2363,C,FALSE,,FALSE,FALSE,0,12,0,3,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,,,,,,,
HR,24,R2,4099,F,FALSE,3,FALSE,FALSE,10,4,2,3,3,No,FALSE,6,4,FALSE,FALSE,No Card,Overshot a lot,,,,,,
MH,24,B3,449,C,FALSE,2,FALSE,FALSE,0,6,0,0,6,No,FALSE,"2,6,4",4,FALSE,FALSE,No Card,"very effective no penalty defense, shooter broke?",,,,,,
CC,25,B2,3373,F,FALSE,,FALSE,FALSE,2,0,2,3,0,No,FALSE,,2,FALSE,TRUE,No Card,,,,,,,
AM,25,R3,1895,M,FALSE,,FALSE,FALSE,3,5,7,2,4,No,FALSE,"2,6",5,FALSE,FALSE,No Card,,,,,,,
HR,25,R2,2534,C,FALSE,,FALSE,FALSE,0,3,0,0,1,No,FALSE,"2,4,5",1,FALSE,FALSE,No Card,Intake failed,,,,,,
CR,25,R1,1895,M,FALSE,,FALSE,FALSE,0,5,7,3,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,Easily goes over bump,,,,,,
BP,25,B1,5587,C,FALSE,,FALSE,FALSE,3,4,0,0,7,No,FALSE,"2,6",1,FALSE,FALSE,No Card,Sat still in alliance zone for long periods of time,,,,,,
KO,25,B3,2988,M,FALSE,2,FALSE,FALSE,0,1,1,0,9,No,FALSE,2,1,FALSE,FALSE,No Card,Slow shooter,,,,,,
AM,26,R3,1731,C,FALSE,3,FALSE,FALSE,10,16,0,1,3,No,FALSE,,3,FALSE,FALSE,No Card,Double turret,,,,,,
SBS,26,R2,5353,M,FALSE,,FALSE,FALSE,4,8,0,5,5,No,FALSE,6,4,FALSE,FALSE,No Card,,,,,,,
MH,26,R1,9403,F,FALSE,,FALSE,FALSE,0,2,0,0,3,No,FALSE,2,3,FALSE,FALSE,No Card,intake no work,,,,,,
CC,26,B2,2377,C,FALSE,,FALSE,FALSE,13,4,0,2,4,No,FALSE,,4,FALSE,TRUE,No Card,,,,,,,
BP,26,B1,2890,F,FALSE,2,FALSE,TRUE,10,0,6,2,5,L1,FALSE,6,3,FALSE,FALSE,No Card,Shot accurately?,,,,,,
RY,26,B3,3258,M,FALSE,,FALSE,FALSE,8,0,3,3,3,No,FALSE,"1,6",3,FALSE,FALSE,No Card,,,,,,,
MC,27,B3,3136,F,FALSE,,FALSE,FALSE,0,3,0,2,8,L1,FALSE,"2,6",4,FALSE,FALSE,No Card,"Pretty consistent shooting, relatively fast l1 climb",,,,,,
AM,27,R3,5243,M,FALSE,,FALSE,FALSE,5,7,1,2,7,F,FALSE,"2,6",4,FALSE,FALSE,No Card,Single turret,,,,,,
BP,27,B1,6882,M,FALSE,,FALSE,FALSE,5,1,1,1,3,No,FALSE,6,1,FALSE,FALSE,No Card,"Driving was slow, got caught on balls for short periods of time",,,,,,
CR,27,R1,5243,M,FALSE,,FALSE,FALSE,0,6,2,3,1,No,FALSE,"2,6",3,FALSE,FALSE,No Card,,,,,,,
SBS,27,R2,1885,C,FALSE,,FALSE,FALSE,3,2,0,0,0,No,FALSE,1,1,FALSE,FALSE,No Card,Stopped for a while and then started up again near match end,,,,,,
CC,27,B2,3359,,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,TRUE,No Card,,,,,,,
CR,28,R1,1793,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
BP,28,B1,116,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
MC,28,B3,4099,C,FALSE,3,FALSE,FALSE,10,5,0,3,0,No,FALSE,6,2,FALSE,TRUE,No Card,,,,,,,
AM,28,R3,2963,M,FALSE,,FALSE,FALSE,0,0,0,0,0,F,FALSE,,2,FALSE,FALSE,No Card,Can41391t do bump and trench,,,,,,
CC,28,B2,2186,F,FALSE,,FALSE,FALSE,2,2,0,2,1,No,FALSE,,2,FALSE,FALSE,No Card,,,,,,,
SBS,28,R2,10449,F,FALSE,,FALSE,FALSE,0,10,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,"Mid driving, minimal game sense, some bulldozing",,,,,,
AM,29,R3,1908,C,FALSE,3,FALSE,FALSE,5,3,1,2,5,No,FALSE,,1,TRUE,FALSE,No Card,"Accurate shooter, can shoot on the move with some reliability?",,,,,,
SBS,29,R2,5587,F,FALSE,,FALSE,FALSE,0,6,1,2,4,No,FALSE,2,3,FALSE,FALSE,No Card,,,,,,,
