team,match_key,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
4469,2026gal_qm10,24.17,166.88,30.32,189.84
4472,2026chcmp_qm2,12.6,55.66,14.79,66.36
4541,2026chcmp_qm8,15.4,44.67,19.39,53.51
4607,2026gal_qm5,20.59,91.13,29.08,97.49
4638,2026mdbet_qm4,3.48,19.73,4.28,14.09
4655,2026gal_qm6,23.2,116.4,29.69,129.25
4766,2026gal_qm12,9.49,102.18,15.63,107.03
4821,2026mdbet_qm2,5.9,20.36,7.45,15.94
5181,2026gal_qm8,19.04,80.87,18.16,67.68
5243,2026chcmp_qm8,10.16,42.61,15.17,43.31
5338,2026chcmp_qm9,15.58,83.01,25.13,118.1
5353,2026mdbet_qm5,11.07,31.82,9.26,43.02
5549,2026chcmp_qm3,17.69,72.63,17.78,101.39
5577,2026gal_qm8,5.74,57.71,10.66,44.36
5587,2026chcmp_qm6,10.41,30.86,6.83,24.38
5653,2026gal_qm10,18.73,83.16,22.3,99.13
5705,2026gal_qm7,6.72,14.02,11.59,23.89
5724,2026chcmp_qm5,8.32,34.76,9.01,41.52
5804,2026chcmp_qm4,14.78,43.28,9.6,47.09
5841,2026mdbet_qm4,3.3,6.2,5.35,5.02
5895,2026gal_qm2,48.32,141.22,41.73,152.29
5913,2026gal_qm7,19.36,95.87,32.65,138.89
6201,2026gal_qm10,8.77,19.35,11.13,36.06
6239,2026mdbet_qm6,8.01,24.02,9.74,35.89
6429,2026gal_qm3,23.22,86.09,16.68,64.4
6487,2026gal_qm3,16.75,89.93,17.13,80.3
6528,2026gal_qm4,17.94,62.4,24.57,107.77
6665,2026gal_qm1,6.48,22.26,8.05,34.66
6882,2026mdbet_qm1,5.94,23.24,12.03,35.82
6911,2026gal_qm11,11.32,59.5,10.52,73.36
6985,2026gal_qm6,38,96.01,33.68,88.35
7183,2026gal_qm4,20.28,119.59,22.19,146.16
7415,2026gal_qm10,47.4,100.53,52.43,122.88
7769,2026gal_qm3,59.23,227.23,66.59,245.86
7840,2026gal_qm12,26.66,90.19,20.4,71.32
7886,2026mdbet_qm1,3.87,17.9,5.92,10.81
7915,2026gal_qm2,25.38,106.19,18.91,108.97
8069,2026gal_qm1,11.07,18.14,16.13,40.55
8119,2026gal_qm5,12.94,100.6,17.46,120.88
8159,2026gal_qm13,36.37,112.76,46.26,138.06
8229,2026gal_qm11,17.83,60.75,25.77,102.41
8230,2026vaale_qm2,6.75,24.65,4.96,22.13
8326,2026vaale_qm2,5.09,18.56,4.97,14.83
8590,2026chcmp_qm2,8.99,23.75,6.52,23
8592,2026chcmp_qm2,19.24,71.56,13.73,89.65
8858,2026gal_qm4,12.01,99.3,17.82,110.01
9033,2026chcmp_qm9,12.36,44.29,7.7,22.82
9072,2026chcmp_qm1,38.08,147.49,40.24,129.54
9403,2026vaale_qm2,6.32,23.08,5.76,15.08
9496,2026gal_qm9,53.71,189.52,62.05,202.17
