scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,problems
MC,27,B3,3136,F,FALSE,NA,FALSE,FALSE,0,3,0,2,8,L1,FALSE,26,4,FALSE,FALSE,No Card,"Pretty consistent shooting, relatively fast l1 climb",0
AM,27,R3,5243,M,FALSE,NA,FALSE,FALSE,5,7,1,2,7,F,FALSE,26,4,FALSE,FALSE,No Card,Single turret,0
BP,27,B1,6882,M,FALSE,NA,FALSE,FALSE,5,1,1,1,3,No,FALSE,6,1,FALSE,FALSE,No Card,"Driving was slow, got caught on balls for short periods of time",0
CR,27,R1,5243,M,FALSE,NA,FALSE,FALSE,0,6,2,3,1,No,FALSE,26,3,FALSE,FALSE,No Card,NA,0
SBS,27,R2,1885,C,FALSE,NA,FALSE,FALSE,3,2,0,0,0,No,FALSE,1,1,FALSE,FALSE,No Card,Stopped for a while and then started up again near match end,0
CC,27,B2,3359,NA,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,TRUE,No Card,NA,0
CR,28,R1,1793,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
BP,28,B1,116,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
MC,28,B3,4099,C,FALSE,3,FALSE,FALSE,10,5,0,3,0,No,FALSE,6,2,FALSE,TRUE,No Card,NA,0
AM,28,R3,2963,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,F,FALSE,NA,2,FALSE,FALSE,No Card,Can41391t do bump and trench,0
CC,28,B2,2186,F,FALSE,NA,FALSE,FALSE,2,2,0,2,1,No,FALSE,NA,2,FALSE,FALSE,No Card,NA,0
SBS,28,R2,10449,F,FALSE,NA,FALSE,FALSE,0,10,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,"Mid driving, minimal game sense, some bulldozing",0
AM,29,R3,1908,C,FALSE,3,FALSE,FALSE,5,3,1,2,5,No,FALSE,NA,1,TRUE,FALSE,No Card,"Accurate shooter, can shoot on the move with some reliability?",0
SBS,29,R2,5587,F,FALSE,NA,FALSE,FALSE,0,6,1,2,4,No,FALSE,2,3,FALSE,FALSE,No Card,NA,0
NS,29,B3,526,C,FALSE,3,FALSE,FALSE,0,3,1,0,1,No,FALSE,2,3,FALSE,FALSE,No Card,"Intake broke off during auto, didn41391t shoot/intake further",0
CR,29,R1,4472,M,FALSE,NA,FALSE,FALSE,4,6,0,3,3,No,FALSE,16,4,FALSE,FALSE,No Card,BP,0
CC,29,B2,2988,M,FALSE,NA,FALSE,FALSE,6,5,1,2,1,No,FALSE,2,3,FALSE,FALSE,No Card,NA,0
BP,29,B1,5338,F,FALSE,NA,FALSE,FALSE,0,4,2,3,2,No,FALSE,26,3,FALSE,TRUE,No Card,Shot well but couldn41391t pull off multiple cycles per shift,0
AM,30,R3,8230,C,FALSE,NA,FALSE,FALSE,0,17,4,0,0,No,FALSE,42,4,FALSE,FALSE,No Card,Didn41391t shoot or intake,0
