"","key","pct_imp","lambda_opt","address","city","country","end_date","event_code","event_type","event_type_string","first_event_code","first_event_id","gmaps_place_id","gmaps_url","lat","lng","location_name","name","parent_event_key","playoff_type","playoff_type_string","postal_code","short_name","start_date","state_prov","timezone","website","week","year","abbreviation","display_name","key2","pridge_mse"
"1106","2024tuis2",7.49903137651305,1.46146146146146,"Huzur Mh., Maslak Ayazağa Cd. 4/A","Sarıyer","Türkiye","2024-03-10","tuis2",0,"Regional","tuis2",NA,NA,NA,NA,NA,"Volkswagen Arena","Bosphorus Regional",NA,10,"Double Elimination Bracket (8 Alliances)","34396","Bosphorus","2024-03-08","34","Europe/Istanbul","http://www.fikretyukselfoundation.org/",1,2024,NA,NA,NA,223.831003202278
"1107","2024tuis3",13.3389457211797,3.72372372372372,"Huzur Mh., Maslak Ayazağa Cd. 4/A","Sarıyer","Türkiye","2024-03-24","tuis3",0,"Regional","tuis3",NA,NA,NA,NA,NA,"Volkswagen Arena","Marmara Regional",NA,10,"Double Elimination Bracket (8 Alliances)","34396","Marmara","2024-03-22","34","Europe/Istanbul",NA,3,2024,NA,NA,NA,227.731200836732
"1108","2024txama",7.74013877490419,3.9039039039039,"401 S Buchanan St","Amarillo","USA","2024-03-30","txama",1,"District","txama",NA,NA,NA,NA,NA,"Amarillo Civic Center","FIT District Amarillo Event",NA,10,"Double Elimination Bracket (8 Alliances)","79101","Amarillo","2024-03-28","TX","America/Chicago","https://firstintexas.org/",4,2024,"fit","FIRST In Texas","2024fit",187.616824018048
"1109","2024txbel",11.2664466893895,6.66666666666667,"301 West Loop 121","Belton","USA","2024-03-09","txbel",1,"District","txbel",NA,NA,NA,NA,NA,"Cadance Bank Center","FIT District Belton Event",NA,10,"Double Elimination Bracket (8 Alliances)","76513","Belton","2024-03-07","TX","America/Chicago","https://firstintexas.org/",1,2024,"fit","FIRST In Texas","2024fit",186.394344199299
"1110","2024txcle",8.61241467390698,4.28428428428428,"4607 FM2351","Friendswood","USA","2024-03-30","txcle",1,"District","txcle",NA,NA,NA,NA,NA,"Clear Brook High School","FIT District Space City @ Friendswood Event",NA,10,"Double Elimination Bracket (8 Alliances)","77546","Space City @ Friendswood","2024-03-28","TX","America/Chicago","https://firstintexas.org/",4,2024,"fit","FIRST In Texas","2024fit",128.77252648534
"1111","2024txdal",10.826853813913,5.66566566566567,"1010 1st Avenue","Dallas","USA","2024-03-23","txdal",1,"District","txdal",NA,NA,NA,NA,NA,"Fair Park Automobile Bldg","FIT District Dallas Event",NA,10,"Double Elimination Bracket (8 Alliances)","75210","Dallas","2024-03-21","TX","America/Chicago","https://firstintexas.org/",3,2024,"fit","FIRST In Texas","2024fit",161.700768717847
"1112","2024txfor",10.7458194830062,6.26626626626627,"4501 Bridge St.","Fort Worth","USA","2024-03-16","txfor",1,"District","txfor",NA,NA,NA,NA,NA,"Nolan Catholic High School","FIT District Fort Worth Event",NA,10,"Double Elimination Bracket (8 Alliances)","76103","Fort Worth","2024-03-14","TX","America/Chicago","https://firstintexas.org/",2,2024,"fit","FIRST In Texas","2024fit",224.850434585234
"1113","2024txhou",7.96881856043699,3.64364364364364,"1865 Aldine Bender, FM 525","Houston","USA","2024-03-24","txhou",1,"District","txhou",NA,NA,NA,NA,NA,"M. O. Campbell Educational Center","FIT District Houston Event",NA,10,"Double Elimination Bracket (8 Alliances)","77032","Houston","2024-03-22","TX","America/Chicago","https://firstintexas.org/",3,2024,"fit","FIRST In Texas","2024fit",135.437550384797
"1114","2024txkat",7.84619012785737,3.58358358358358,"6301 South Stadium Lane","Katy","USA","2024-03-02","txkat",1,"District","txkat",NA,NA,NA,NA,NA,"Leonard E Merrell Center","FIT District Katy Event",NA,10,"Double Elimination Bracket (8 Alliances)","77494","Katy","2024-02-29","TX","America/Chicago","https://firstintexas.org/",0,2024,"fit","FIRST In Texas","2024fit",136.502819929403
"1115","2024txpla",6.66298926094599,3.08308308308308,"2200 Independence Pkwy","Plano","USA","2024-03-10","txpla",1,"District","txpla",NA,NA,NA,NA,NA,"Plano Senior High School","FIT District Plano Event",NA,10,"Double Elimination Bracket (8 Alliances)","75075","Plano","2024-03-08","TX","America/Chicago","https://firstintexas.org/",1,2024,"fit","FIRST In Texas","2024fit",180.548997164049
"1116","2024txsan",8.72454678964944,4.3043043043043,"3201 East Houston St.","San Antonio","USA","2024-03-16","txsan",1,"District","txsan",NA,NA,NA,NA,NA,"Freeman Coliseum","FIT District San Antonio Event",NA,10,"Double Elimination Bracket (8 Alliances)","78219","San Antonio","2024-03-14","TX","America/Chicago","https://firstintexas.org/",2,2024,"fit","FIRST In Texas","2024fit",122.641577678762
"1117","2024txwac",12.8299222519751,8.98898898898899,"4601 Bosque Blvd","Waco","USA","2024-03-02","txwac",1,"District","txwac",NA,NA,NA,NA,NA,"Extraco Event Center","FIT District Waco Event",NA,10,"Double Elimination Bracket (8 Alliances)","76710","Waco","2024-02-29","TX","America/Chicago","https://firstintexas.org/",0,2024,"fit","FIRST In Texas","2024fit",176.106569757349
